Gene,Refseq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS13,NP_620594.1,B561,B1191,B1180,B1160,B1151,B499,B1147,B1186,B1188,B1167,B50,B1152,B1200,B477,B1156,B1168,B1126,B1206,B882,B1130,B1148,B1139,B510,B1159,B884,B563,B1177,B1171,B1770,B1768,B1190,B1205,B519,B1149,B560,B1195,B522,B527,B1204,B491,B1133,B1978,B1198,B1181,B1197,B444,B1199,B509,B456,B1125,B476,B1899,B1174,B2024,B1127,B1145,B1155,B1900,B1897,B630,B1194,B1123,B1176,B1137,B1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS3,NP_055058.2,B561,B1425,B1913,B1485,B1340,B1378,B1350,B1391,B1377,B499,B1338,B657,B1360,B1384,B50,B1365,B1380,B1415,B1351,B1914,B1399,B1068,B1915,B510,B1486,B563,B1341,B1394,B1362,B1352,B1413,B1916,B1359,B519,B560,B1381,B522,B527,B1410,B1373,B491,B1379,B1371,B1349,B467,B1393,B444,B1403,B645,B1424,B1383,B509,B658,B21,B456,B1374,B1483,B431,B1368,B1390,B1354,B630,B433,B1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS2,NP_055059.2,B561,B1404,B1378,B1350,B1641,B1377,B1644,B499,B1621,B1360,B1384,B50,B1380,B1492,B882,B1638,B1407,B1415,B1640,B1399,B1068,B510,B884,B563,B1626,B1394,B1623,B1359,B1618,B1312,B519,B1636,B1631,B560,B1381,B522,B1627,B527,B1373,B491,B1620,B1379,B1371,B1629,B1349,B467,B444,B1406,B1403,B1632,B1383,B509,B21,B456,B1374,B1643,B1483,B431,B1390,B630,B1637,B1409,B433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS14,NP_631894.2,B561,B1404,B1340,B1378,B1350,B1391,B1377,B499,B1925,B1360,B1384,B50,B1380,B1492,B882,B1407,B1415,B1399,B1068,B1480,B510,B884,B563,B1341,B1394,B1362,B1359,B1493,B1928,B1312,B519,B1474,B1926,B560,B1381,B1929,B522,B527,B1373,B491,B1379,B1371,B1349,B467,B1393,B444,B1406,B1403,B1383,B509,B21,B456,B1374,B1930,B1483,B431,B1390,B1481,B1498,B1472,B630,B1637,B1409,B433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS19,NP_598377.4,B1931,B561,B1512,B1527,B1226,B1940,B1504,B499,B657,B1525,B1933,B1502,B1519,B50,B1242,B1937,B710,B1208,B1725,B1938,B510,B1506,B563,B1532,B1514,B442,B519,B560,B2027,B522,B527,B491,B1505,B1932,B1216,B1935,B467,B1533,B444,B1523,B1509,B1500,B1501,B557,B509,B12,B658,B1508,B456,B583,B431,B1224,B1220,B1215,B1524,B585,B1228,B1528,B1513,B1503,B1529,B1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS17,XP_016877462.1,B561,B1512,B1226,B1940,B499,B1904,B657,B687,B50,B1784,B1781,B1242,B710,B1208,B510,B563,B1908,B1786,B1789,B442,B519,B560,B522,B1233,B527,B491,B1216,B1905,B467,B1212,B444,B1787,B1523,B557,B1539,B509,B12,B658,B1907,B456,B1909,B583,B431,B1224,B1220,B686,B1215,B585,B1228,B1513,B630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS16,NP_620687.2,B561,B1013,B1044,B1018,B499,B657,B1035,B50,B1007,B477,B1027,B1025,B594,B592,B710,B1068,B1012,B1725,B510,B563,B1057,B442,B519,B560,B636,B1893,B522,B527,B1036,B491,B1033,B467,B1031,B1063,B1067,B444,B497,B1004,B1030,B557,B509,B12,B658,B21,B1005,B479,B456,B476,B1003,B583,B431,B1043,B1894,B585,B1062,B1022,B436,B630,B1045,B433,B547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTSL2,XP_011517543.2,B2310,B561,B657,B2306,B2382,B2299,B2313,B2383,B2305,B1068,B563,B2304,B2312,B2385,B993,B2314,B2301,B2298,B2309,B647,B645,B2324,B2291,B658,B2311,B2175,B583,B2307,B1820,B585,B2297,B630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTSL1,XP_011516365.1,B561,B2408,B2406,B2401,B2334,B2055,B2407,B2098,B2115,B2340,B2403,B2405,B657,B2092,B2048,B2049,B894,B2330,B1156,B2056,B2119,B882,B2338,B710,B2343,B510,B884,B2332,B563,B2404,B987,B519,B1863,B2402,B2047,B2335,B2052,B560,B2117,B2337,B2411,B522,B527,B2400,B2331,B557,B509,B658,B2100,B2093,B2328,B2414,B2336,B2341,B2409,B2412,B2410,B630,B2344,B2339,B2118,B919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTSL5,XP_011526263.1,B561,B2283,B2285,B2280,B594,B2275,B592,B510,B563,B2290,B2288,B519,B2434,B560,B522,B527,B2286,B557,B509,B583,B2276,B585,B2289,B781,B547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
