XP_016865394.1,P01023_A2M|P0DP24_CALM2|P29279_CCN2|P49747_COMP|P98095_FBLN2|O95302_FKBP9|P28799_GRN|B4DJ51_HEL-S-72|P50222_MEOX2|P60660_MYL6|O14594_NCAN|P35813_PPM1A|Q7L099_RUFY3|Q9NRH2_SNRK|Q02447_SP3|Q8IWV7_UBR1|P22415_USF1|Q15853_USF2
NP_620594.1,P00451_F8|P04275_VWF
NP_631894.2,P01023_A2M|Q6ZN18_AEBP2|P02765_AHSG|P02768_ALB|P04083_ANXA1|P07355_ANXA2|P13928_ANXA8|O00213_APBB1|P02647_APOA1|P02652_APOA2|P02749_APOH|P21810_BGN|P13497_BMP1|P01024_C3|Q16581_C3AR1|P0C0L5_C4B|Q03135_CAV1|Q6NZI2_CAVIN1|Q15517_CDSN|P00751_CFB|P08603_CFH|O94985_CLSTN1|P12107_COL11A1|P13942_COL11A2|Q05707_COL14A1|P39060_COL18A1|P02452_COL1A1|A0A0S2Z3H5_COL1A2|Q17RW2_COL24A1|Q8IZC6_COL27A1|P02458_COL2A1|P02461_COL3A1|P02462_COL4A1|P08572_COL4A2|A0A024R8E5_COL5A1|P05997_COL5A2|P25940_COL5A3|P12109_COL6A1|P12110_COL6A2|P12111_COL6A3|Q9UI42_CPA4|P01034_CST3|P07858_CTSB|P09668_CTSH|P25774_CTSS|P07585_DCN|Q9UBP4_DKK3|Q6E0U4_DMKN|Q07507_DPT|P00488_F13A1|P98095_FBLN2|P02751_FN1|P02774_GC|P28799_GRN|P68871_HBB|P30443_HLA-A|P02790_HPX|P98160_HSPG2|P24593_IGFBP5|P01860_IGHG3|Q14624_ITIH4|P06870_KLK1|P09382_LGALS1|P47929_LGALS7|Q08397_LOXL1|Q14766_LTBP1|Q14767_LTBP2|P51884_LUM|P14174_MIF|P08254_MMP3|P25189_MPZ|P20774_OGN|P01042_KNG1|Q15113_PCOLCE|Q15084_PDIA6|Q15063_POSTN|P51888_PRELP|P35237_SERPINB6|Q5VX71_SUSD4|P20062_TCN2|P01135_TGFA|O43897_TLL1|Q13445_TMED1|Q8N2C7_UNC80|P13611_VCAN|P62736_ACTA2|P08670_VIM
NP_620686.1,Q5XPI4_RNF123|P13611_VCAN
NP_620687.2,P02751_FN1|P50454_SERPINH1|P11387_TOP1
XP_016877462.1,Q8TE56_ADAMTS17|Q6DD88_ATL3|Q13616_CUL1
NP_955387.1,P02768_ALB|Q6Y288_B3GLCT|P11021_HSPA5|P01834_IGKC|P78362_SRPK2
NP_598377.4,Q93079_H2BC9
XP_011537056.1,P01106_MYC|P51957_NEK4|P13611_VCAN|Q07954_LRP1
XP_011516365.1,Q15067_ACOX1|Q6Y288_B3GLCT|P35556_FBN2|Q14192_FHL2|P28799_GRN|P09238_MMP10|Q96DX4_RSPRY1|Q9H6R7_WDCP
XP_011517543.2,P35555_FBN1|P35556_FBN2|P49639_HOXA1|Q9Y4K0_LOXL2|P58215_LOXL3|Q14766_LTBP1|Q7Z6G3_NECAB2
XP_011520124.1,A8MQ03_CYSRT1|O76003_GLRX3|Q6A162_KRT40|Q07627_KRTAP1-1|P60369_KRTAP10-3|P60371_KRTAP10-6|P60410_KRTAP10-8|P60328_KRTAP12-3|P0C7H8_KRTAP2-3|Q9BYR9_KRTAP2-4|Q9BYR7_KRTAP3-2|Q6L8G8_KRTAP5-7|Q99750_MDFI|Q7Z3S9_NOTCH2NLA|P0DPK4_NOTCH2NLC
XP_011507946.1,O43184_ADAM12|Q6UY14_ADAMTSL4|Q6ZMM2_ADAMTSL5|Q9Y4X0_AMMECR1|O00213_APBB1|Q9BWW8_APOL6|P29972_AQP1|Q9HBZ2_ARNT2|Q9BZE9_ASPSCR1|Q7Z3C6_ATG9A|O95429_BAG4|Q9H503_BANF2|P13497_BMP1|Q8NEC5_CATSPER1|Q8IYR0_CFAP206|P27918_CFP|Q9Y6H1_CHCHD2|A5D8T8_CLEC18A|P12107_COL11A1|P13942_COL11A2|P02452_COL1A1|A0A0S2Z3H5_COL1A2|Q17RW2_COL24A1|Q8IZC6_COL27A1|P02458_COL2A1|P02461_COL3A1|A0A024R8E5_COL5A1|P05997_COL5A2|P25940_COL5A3|P27658_COL8A1|Q9UBL6_CPNE7|Q02930_CREB5|P09228_CST2|P07858_CTSB|Q9H2A7_CXCL16|Q96SQ9_CYP2S1|A8MQ03_CYSRT1|Q8NFT6_DBF4B|Q14129_DGCR6|Q9BY27_DGCR6L|Q14689_DIP2A|Q96F81_DISP1|Q6UY11_DLK2|Q9ULA0_DNPEP|A0A024R5G1_EFEMP2|A0A024RD55_EGFL9|O60573_EIF4E2|Q9Y3B2_EXOSC1|P16930_FAH|Q9H5Z6_FAM124B|O95363_FARS2|Q9NRD1_FBXO6|Q969U6_FBXW5|Q13643_FHL3|P68106_FKBP1B|P21333_FLNA|O43559_FRS3|P51114_FXR1|P23769_GATA2|P09681_GIP|O76003_GLRX3|Q9Y223_GNE|Q14749_GNMT|P14210_HGF|P49639_HOXA1|P31273_HOXC8|P05107_ITGB2|A0A024R8K7_ITGB4|Q7L273_KCTD9|Q12756_KIF1A|Q07627_KRTAP1-1|P60331_KRTAP10-1|P60412_KRTAP10-11|P60369_KRTAP10-3|P60370_KRTAP10-5|P60410_KRTAP10-8|P60411_KRTAP10-9|Q3LI59_KRTAP21-2|Q9BYQ6_KRTAP4-11|Q9BQ66_KRTAP4-12|Q9BYR5_KRTAP4-2|Q701N4_KRTAP5-2|Q6L8G9_KRTAP5-6|P26371_KRTAP5-9|Q9BYQ4_KRTAP9-2|Q9BYQ2_KRTAP9-4|Q5T7P3_LCE1B|Q5T751_LCE1C|O14633_LCE2B|Q5TA82_LCE2D|Q5T5A8_LCE3C|Q5T5B0_LCE3E|Q5TA78_LCE4A|Q8TCE9_LGALS14|P25800_LMO1|P25791_LMO2|Q17RB8_LONRF1|Q6PJG9_LRFN4|Q8WV35_LRRC29|O60336_MAPKBP1|Q3V5L5_MGAT5B|Q9UJV3_MID2|Q5JXC2_MIIP|Q6PF18_MORN3|Q14764_MVP|Q8WY64_MYLIP|Q8N6N6_NATD1|Q86SG6_NEK8|Q9GZQ4_NMUR2|Q96HA8_NTAQ1|P34130_NTF4|Q7Z417_NUFIP2|Q96PB7_OLFM3|P32242_OTX1|Q7Z2X4_PID1|Q13526_PIN1|O15162_PLSCR1|O43741_PRKAB2|P43115_PTGER3|Q8WUD1_RAB2B|Q96PM5_RCHY1|Q9H4E5_RHOJ|Q9Y467_SALL2|Q9NUL5_SHFL|Q9UHI7_SLC23A1|Q9NP91_SLC6A20|Q92922_SMARCC1|O60504_SORBS3|Q6RVD6_SPATA8|P20155_SPINK2|O43597_SPRY2|O75716_STK16|Q92537_SUSD6|Q9BX59_TAPBPL|Q15560_TCEA2|O43897_TLL1|Q86TG1_TMEM150A|Q07912_TNK2|O95985_TOP3B|Q8IWZ5_TRIM42|Q15654_TRIP6|Q96PN8_TSSK3|Q9UGJ1_TUBGCP4|F5H991_US26|Q6EMK4_VASN|P19320_VCAM1|Q8TAU3_ZNF417|Q96SQ5_ZNF587
XP_011526263.1,Q6UY14_ADAMTSL4|A8MQ03_CYSRT1|P35555_FBN1|P35556_FBN2|Q5TD97_FHL5|P01116_KRAS|P60369_KRTAP10-3|P26371_KRTAP5-9|Q7Z3S9_NOTCH2NLA|P0DPK4_NOTCH2NLC
NP_001381461.1,Q8TCU4_ALMS1|Q92624_APPBP2|Q14865_ARID5B|Q9UPV0_CEP164|P78560_CRADD|P35555_FBN1|P55316_FOXG1|P10071_GLI3|P42694_HELZ|P54652_HSPA2|P11142_HSPA8|Q63ZY3_KANK2|A5PL33_KRBA1|P58340_MLF1|Q7Z417_NUFIP2|O75665_OFD1|Q13546_RIPK1|Q70EL1_USP54|P0DPA2_VSIG8|O14628_ZNF195|O15014_ZNF609
NP_001352835.1,Q6Y288_B3GLCT|Q6ZPD9_DPY19L3|Q99661_KIF2C|Q8N4N3_KLHL36|Q9GZT8_NIF3L1|P14618_PKM|Q92754_TFAP2C|P52888_THOP1|Q8TCN5_ZNF507
